Full model...
   DIC: 293.735
    pD: 70.171

                Dbar	Dhat	pD	DIC	
fecundity	33.816	22.760	11.055	44.871	
fl.per.head	42.707	31.878	10.829	53.536	
infest	        57.983	43.160	14.822	72.805	
pink	        22.935	10.255	12.680	35.614	
poly	        31.711	21.967	9.744	41.456	
seed.mass	34.413	23.373	11.040	45.453	
total	        223.564	153.394	70.171	293.735	


Full model results...Inference for Bugs model at "analysis-alt.txt", fit using WinBUGS,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                              mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.fecundity.elev[2]      -0.227  0.122  -0.472  -0.304  -0.226  -0.148   0.016 1.001 25000
eps.fecundity.species[1]    -1.203  0.291  -1.791  -1.388  -1.199  -1.013  -0.632 1.001  5300
eps.fecundity.species[2]    -1.304  0.897  -3.046  -1.902  -1.313  -0.716   0.484 1.002  2100
eps.fecundity.species[3]    -0.949  0.591  -2.088  -1.337  -0.960  -0.570   0.251 1.001  9100
eps.fecundity.species[4]     0.815  0.144   0.527   0.722   0.815   0.909   1.096 1.001 17000
tau.fecundity                4.353  1.592   1.828   3.199   4.159   5.285   8.014 1.001 25000
beta.fl.per.head.long[1]     0.061  0.280  -0.490  -0.123   0.061   0.244   0.622 1.002  4000
beta.fl.per.head.long[2]     0.311  0.222  -0.134   0.166   0.313   0.457   0.749 1.001 25000
beta.fl.per.head.map[1]     -0.072  0.448  -0.969  -0.359  -0.065   0.221   0.793 1.003  1800
beta.fl.per.head.map[2]      0.289  0.160  -0.030   0.185   0.289   0.392   0.607 1.001  8700
beta.fl.per.head.elev[1]    -0.492  0.561  -1.594  -0.865  -0.490  -0.119   0.614 1.001  7600
beta.fl.per.head.elev[2]     0.204  0.146  -0.087   0.108   0.205   0.299   0.491 1.001 25000
eps.fl.per.head.species[1]  -1.015  0.344  -1.696  -1.239  -1.016  -0.793  -0.333 1.001  5700
eps.fl.per.head.species[2]   0.129  1.028  -1.893  -0.546   0.128   0.807   2.158 1.001  5700
eps.fl.per.head.species[3]   1.699  0.681   0.366   1.258   1.692   2.136   3.058 1.002  2700
eps.fl.per.head.species[4]  -0.120  0.171  -0.463  -0.230  -0.119  -0.011   0.224 1.001 15000
tau.fl.per.head              3.040  1.115   1.277   2.238   2.894   3.695   5.603 1.001 14000
beta.seed.mass.long[1]      -0.119  0.244  -0.606  -0.278  -0.118   0.042   0.359 1.002  2800
beta.seed.mass.long[2]       0.058  0.191  -0.316  -0.066   0.058   0.181   0.442 1.001  7600
beta.seed.mass.map[1]        0.004  0.381  -0.743  -0.244   0.006   0.248   0.759 1.002  3800
beta.seed.mass.map[2]       -0.341  0.136  -0.609  -0.431  -0.342  -0.254  -0.069 1.001  5900
beta.seed.mass.elev[1]       0.155  0.487  -0.799  -0.163   0.149   0.471   1.132 1.002  4500
beta.seed.mass.elev[2]      -0.366  0.123  -0.608  -0.446  -0.366  -0.285  -0.120 1.001 25000
eps.seed.mass.species[1]    -0.782  0.295  -1.362  -0.976  -0.785  -0.591  -0.193 1.001  9000
eps.seed.mass.species[2]    -0.440  0.894  -2.207  -1.024  -0.444   0.146   1.341 1.002  3300
eps.seed.mass.species[3]    -1.309  0.590  -2.470  -1.689  -1.311  -0.932  -0.131 1.002  4600
eps.seed.mass.species[4]     0.633  0.147   0.338   0.537   0.632   0.729   0.926 1.001 15000
tau.seed.mass                4.228  1.534   1.785   3.124   4.034   5.132   7.706 1.001 13000
deviance                   223.564 15.404 195.600 212.800 222.800 233.400 256.100 1.002  2900

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = Dbar-Dhat)
pD = 70.2 and DIC = 293.7
DIC is an estimate of expected predictive error (lower deviance is better).



95% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
             alpha.poly.fecundity    -2.867    6.249
           alpha.poly.fl.per.head    -3.778    5.920
             alpha.poly.seed.mass    -4.213    5.787
                alpha.poly.infest    -4.609    2.917
                  alpha.poly.long    -3.902    3.508
                   alpha.poly.map    -3.876    3.308
                  alpha.poly.elev    -4.986    2.996
                  alpha.poly.0[1]    -6.882    2.861
                  alpha.poly.0[2]    -4.550    5.012
             alpha.pink.fecundity    -3.142    4.963
           alpha.pink.fl.per.head    -5.119    3.102
             alpha.pink.seed.mass    -3.602    5.572
                alpha.pink.infest    -4.087    3.067
                  alpha.pink.long    -6.326    0.128
                   alpha.pink.map    -2.734    3.325
                  alpha.pink.elev    -4.498    2.441
                  alpha.pink.0[1]    -7.717    2.385
                  alpha.pink.0[2]    -5.962    3.681
                  alpha.pink.0[3]    -2.992    6.785
                  alpha.pink.0[4]    -1.658    8.988
         beta.poly.fecundity[1,1]    -3.256   10.560
         beta.poly.fecundity[1,2]    -4.772    7.805
         beta.poly.fecundity[2,1]    -4.814    8.132
         beta.poly.fecundity[2,2]    -4.144    8.746
       beta.poly.fl.per.head[1,1]    -6.737    6.445
       beta.poly.fl.per.head[1,2]    -6.138    8.416
       beta.poly.fl.per.head[2,1]    -3.429    9.063
       beta.poly.fl.per.head[2,2]    -6.570    8.307
         beta.poly.seed.mass[1,1]    -4.620    9.919
         beta.poly.seed.mass[1,2]    -6.130    7.582
         beta.poly.seed.mass[2,1]    -7.409    7.059
         beta.poly.seed.mass[2,2]    -5.762    8.282
            beta.poly.infest[1,1]    -4.892    6.768
            beta.poly.infest[1,2]    -3.177    7.255
            beta.poly.infest[2,1]   -10.900    0.508
            beta.poly.infest[2,2]    -8.832    6.438
              beta.poly.long[1,1]    -5.976    7.446
              beta.poly.long[1,2]    -3.029    4.150
              beta.poly.long[2,1]    -6.795    5.622
              beta.poly.long[2,2]    -5.191    2.194
               beta.poly.map[1,1]    -6.944    4.589
               beta.poly.map[1,2]    -4.875    3.646
               beta.poly.map[2,1]    -4.801    4.589
               beta.poly.map[2,2]    -4.332    5.098
              beta.poly.elev[1,1]    -7.790    5.302
              beta.poly.elev[1,2]    -4.849    3.669
              beta.poly.elev[2,1]    -8.070    4.031
              beta.poly.elev[2,2]    -5.573    3.444
                 beta.poly.0[1,1]   -10.070    4.677
                 beta.poly.0[1,2]    -9.808    5.326
                 beta.poly.0[1,3]   -10.340    4.891
                 beta.poly.0[1,4]    -7.430    3.540
                 beta.poly.0[2,1]    -7.607    6.615
                 beta.poly.0[2,2]    -7.434    7.132
                 beta.poly.0[2,3]    -6.315    8.830
                 beta.poly.0[2,4]    -5.449    5.569
         beta.pink.fecundity[1,1]    -3.704    9.447
         beta.pink.fecundity[1,2]    -5.164    7.434
         beta.pink.fecundity[2,1]    -4.579    7.810
         beta.pink.fecundity[2,2]    -5.322    7.950
         beta.pink.fecundity[3,1]    -7.568    5.401
         beta.pink.fecundity[3,2]    -6.598    6.235
         beta.pink.fecundity[4,1]    -7.662    5.751
         beta.pink.fecundity[4,2]    -3.949    9.475
       beta.pink.fl.per.head[1,1]    -8.029    4.595
       beta.pink.fl.per.head[1,2]    -7.547    6.459
       beta.pink.fl.per.head[2,1]    -5.652    5.803
       beta.pink.fl.per.head[2,2]    -8.625    5.732
       beta.pink.fl.per.head[3,1]    -9.421    2.148
       beta.pink.fl.per.head[3,2]    -8.132    5.833
       beta.pink.fl.per.head[4,1]    -6.233    6.404
       beta.pink.fl.per.head[4,2]    -8.174    6.240
         beta.pink.seed.mass[1,1]    -4.510    9.802
         beta.pink.seed.mass[1,2]    -6.840    6.739
         beta.pink.seed.mass[2,1]    -5.702    8.068
         beta.pink.seed.mass[2,2]    -4.422    9.750
         beta.pink.seed.mass[3,1]    -6.449    7.393
         beta.pink.seed.mass[3,2]    -6.638    7.691
         beta.pink.seed.mass[4,1]    -7.943    6.226
         beta.pink.seed.mass[4,2]    -5.641    9.252
            beta.pink.infest[1,1]    -4.866    6.665
            beta.pink.infest[1,2]    -6.332    8.353
            beta.pink.infest[2,1]   -10.410    0.166
            beta.pink.infest[2,2]    -6.629    4.506
            beta.pink.infest[3,1]    -5.626    6.054
            beta.pink.infest[3,2]    -5.321    8.391
            beta.pink.infest[4,1]    -7.863    4.272
            beta.pink.infest[4,2]    -6.705    6.238
              beta.pink.long[1,1]    -8.402    4.824
              beta.pink.long[1,2]   -10.030    0.746
              beta.pink.long[2,1]   -10.060    2.037
              beta.pink.long[2,2]   -10.950   -0.616*
              beta.pink.long[3,1]   -10.200    1.731
              beta.pink.long[3,2]    -3.938    4.172
              beta.pink.long[4,1]    -9.884    3.096
              beta.pink.long[4,2]    -8.873    0.216
               beta.pink.map[1,1]    -6.706    4.491
               beta.pink.map[1,2]    -5.014    4.161
               beta.pink.map[2,1]    -4.728    4.103
               beta.pink.map[2,2]    -3.176    7.743
               beta.pink.map[3,1]    -3.640    5.552
               beta.pink.map[3,2]    -5.423    4.129
               beta.pink.map[4,1]    -4.662    6.657
               beta.pink.map[4,2]    -5.602    5.660
              beta.pink.elev[1,1]    -7.352    5.382
              beta.pink.elev[1,2]    -3.216    6.478
              beta.pink.elev[2,1]    -8.591    3.093
              beta.pink.elev[2,2]    -8.959    1.406
              beta.pink.elev[3,1]    -8.367    3.858
              beta.pink.elev[3,2]    -7.820    2.158
